SaleID,ProductID,CustomerID,SaleDate,Quantity,SalePrice,DiscountApplied,ProfitAmount,PaymentMode
52,47,5149,2020-06-08,3,1830.56,0.19,-44.36,Paytm
53,58,8832,2023-09-19,1,491.2,0.2,-50.86,Card
54,92,8445,2025-08-19,2,3270.96,0.2,259.45,Cash
55,50,7324,2023-03-24,1,694.51,0,201.15,Cash
56,244,2329,2021-02-04,2,390.76,0,72.38,GPay
57,129,1165,2024-01-02,2,2096.91,0.05,206.75,Card
58,239,6495,2024-02-21,2,996.64,0.07,245.44,PhonePe
59,224,2818,2022-07-26,3,2635.19,0,665.81,PhonePe
60,233,4905,2020-03-13,3,682.37,0.25,-61.3,Cash
61,43,5059,2021-04-16,1,877.03,0.15,-31.74,Paytm
62,7,5704,2021-01-08,2,2472.37,0,566.91,PhonePe
63,227,6369,2020-04-21,1,2268.68,0.1,-2.22,Card
64,36,5604,2022-03-07,3,1973.48,0.12,386.81,Card
65,229,7032,2023-08-11,3,2094.24,0,211.9,Cash
66,140,1922,2025-09-30,2,2180.58,0.12,319.38,Card
67,103,5466,2025-12-06,2,2832.42,0,782.77,GPay
68,242,7666,2024-11-24,3,2604.38,0,797.68,Card
69,156,7000,2020-02-03,2,937.21,0.2,103.27,Card
70,276,9666,2021-06-15,1,743.16,0.03,163.21,UPI
71,180,6010,2025-06-15,3,1738.14,0,465.99,Card
72,141,7875,2022-07-27,1,743.04,0,209.01,GPay
73,102,8350,2023-11-08,2,363.12,0,57.55,GPay
74,91,7275,2021-04-10,3,3014.04,0.18,35.16,GPay
75,296,3124,2021-03-13,3,3489.29,0.12,666.38,UPI
76,153,3493,2025-11-20,1,2899.47,0.02,901.56,PhonePe
77,241,7872,2025-04-25,2,3406.56,0,936.48,Cash
78,129,7794,2020-02-06,3,2555.64,0.12,463.65,UPI
79,213,6715,2022-11-19,3,837.2,0.04,186.76,GPay
80,10,7487,2021-06-09,3,373.44,0.29,-48.97,Card
81,35,9863,2021-05-12,1,987.7,0.11,194.55,Cash
82,240,4492,2020-09-23,1,617.69,0,169.35,Cash
83,19,9002,2024-03-05,3,1528.48,0,231.21,UPI
84,152,7891,2021-09-22,2,1120.48,0,369.85,Paytm
85,128,9784,2022-03-03,2,882.49,0,161.74,Card
86,242,3763,2020-01-01,1,2567.22,0,760.52,PayPal
87,204,7779,2023-11-28,3,1874.88,0.03,221.15,PhonePe
88,205,6179,2021-07-03,1,1747.61,0,279.03,PayPal
89,43,4703,2022-08-26,3,1089.57,0.09,214.29,PhonePe
90,190,3740,2025-01-28,2,2878.08,0,942.82,Cash
91,282,423,2023-11-13,2,2566.5,0.22,-40.46,GPay
92,136,5293,2023-04-14,1,932.66,0.3,-136.03,Paytm
93,192,1103,2025-03-20,2,2928.85,0,479.01,PayPal
94,51,4932,2025-04-17,1,1896.67,0.24,-77.47,PayPal
95,197,2828,2024-07-08,3,2820.59,0.12,601.53,Cash
96,106,1371,2020-07-11,3,473.99,0.01,38.6,GPay
97,227,838,2021-05-03,1,2889.99,0.19,296.86,Card
98,159,2851,2024-09-23,3,398.88,0,73.32,PhonePe
99,299,5110,2020-11-01,2,767.73,0,80.21,Card
100,275,9582,2020-12-21,3,593.01,0,91.54,GPay
101,93,5608,2020-01-28,1,909.25,0.14,97.19,Paytm
102,195,6690,2022-09-13,2,425.83,0.16,14.89,UPI
103,163,4216,2023-04-23,2,748.8,0.14,7.75,Card
104,165,8883,2023-04-09,2,2432.57,0.01,349.3,PayPal
105,4,2232,2021-12-24,3,3103.98,0.11,376.82,Card
106,198,2237,2020-01-26,2,1818.63,0.09,138.91,Cash
107,218,6966,2024-08-09,3,735.69,0,155.05,Card
108,61,4357,2024-05-28,3,1807.59,0,575.21,Cash
109,267,7874,2024-12-19,1,887.02,0,166.04,GPay
110,82,1805,2021-04-29,2,553.54,0,171.4,PhonePe
111,270,6693,2022-04-01,3,598.97,0,83.06,PhonePe
112,116,1163,2023-10-16,3,2146.84,0,530.39,Card
113,114,8310,2023-11-04,1,800.69,0.2,-76.06,UPI
114,172,2978,2021-01-25,2,854.38,0,223.88,PhonePe
115,167,1279,2025-08-31,1,826.61,0.28,-2.4,Paytm
116,148,9933,2021-12-28,2,422.39,0.06,33.02,PhonePe
117,157,3262,2024-03-04,3,2239.59,0,375.99,Card
118,300,1564,2022-06-23,3,1464.87,0,157.35,GPay
119,168,176,2022-02-17,3,469.33,0,108.28,Paytm
120,134,9372,2022-07-10,3,748.68,0,122.75,Card
121,90,5101,2022-11-11,1,1874.81,0,378.51,Paytm
122,35,8453,2024-03-24,2,979.11,0.22,79.21,Card
123,277,155,2021-05-12,1,2765.82,0,665.3,PhonePe
124,33,8508,2020-11-23,2,793.89,0,194.55,Card
125,88,823,2023-12-29,1,625.36,0,163.71,Cash
126,234,1672,2021-02-16,2,2244.84,0,554.11,PayPal
127,81,3457,2025-11-13,2,940.01,0,279.83,Card
128,183,2539,2020-04-13,2,439.52,0,65,Paytm
129,31,3843,2023-06-23,1,2011.41,0.16,280.15,Cash
130,297,2365,2023-03-24,1,599.01,0.23,57.18,GPay
131,252,9393,2020-05-19,3,748.14,0.07,157.24,Card
132,101,6537,2023-08-11,3,2419.91,0,520.79,PayPal
133,3,7677,2024-02-03,2,666.06,0,176.64,UPI
134,247,5100,2022-09-06,3,911.86,0,243.07,GPay
135,87,9087,2022-10-09,3,722.14,0.1,123.8,Cash
136,222,9991,2024-06-07,1,2166.03,0,259.87,PhonePe
137,291,3853,2024-11-25,1,2585.88,0,682.48,Card
138,161,3717,2022-04-17,2,898.94,0.03,258.35,UPI
139,265,49,2024-12-24,3,838.63,0.24,-81.7,Card
140,206,4033,2021-11-07,2,2474.47,0,419.37,GPay
141,145,1332,2020-03-10,2,2253.9,0,664.17,Paytm
142,237,6156,2023-12-21,3,811.97,0,184.27,Card
143,19,6531,2020-07-19,1,1708.73,0,411.46,GPay
144,16,96,2020-08-16,1,907.36,0.02,142.98,UPI
145,142,7697,2025-10-02,1,477.45,0,81.37,PhonePe
146,237,6123,2021-11-04,3,801.5,0.01,165.78,PayPal
147,252,1052,2021-10-21,2,700.03,0.16,49.5,Paytm
148,180,4763,2023-02-19,2,1593.2,0,321.05,GPay
149,109,7673,2021-06-28,1,2088.94,0.05,86.44,PayPal
150,198,282,2024-06-01,3,1920.63,0.21,1.26,Paytm
151,288,2964,2023-05-16,3,596.75,0,170.56,UPI
152,249,5511,2024-07-03,1,571.48,0,122.59,UPI
153,164,8106,2022-12-05,2,638.84,0,181.77,Card
154,44,4236,2025-02-09,1,3506.83,0.2,317.86,Card
155,138,9804,2024-05-05,1,3510.86,0.04,900.23,PhonePe
156,223,5125,2024-02-13,1,1963.88,0,536.52,Cash
157,239,9223,2023-01-31,3,833.17,0,151.73,Paytm
158,241,3975,2021-05-22,1,3005.96,0.2,-65.31,PayPal
159,264,5331,2025-03-30,3,737.19,0.14,14.87,PayPal
160,101,9792,2021-09-04,1,2704.22,0.14,426.51,Card
161,61,7966,2020-05-17,1,1654.77,0,422.39,Paytm
162,143,2314,2022-06-07,2,902.5,0.09,117.9,UPI
163,298,9477,2023-09-04,2,595.43,0.23,-36.05,GPay
164,167,6753,2023-10-29,1,842.65,0.1,160.83,Cash
165,279,6743,2023-10-23,3,742.44,0,94.08,GPay
166,246,8473,2024-12-05,3,642.28,0,96.68,UPI
167,138,2001,2022-07-22,3,3557.73,0,1087.53,UPI
168,174,7764,2021-06-24,2,453.33,0,121.18,Card
169,183,9835,2021-09-01,3,555.05,0.27,30.67,UPI
170,68,9577,2021-05-21,3,529.55,0,156.34,GPay
171,66,4494,2024-04-24,1,1025.55,0,263.14,Card
172,53,8336,2020-06-19,1,798.19,0.28,-98.78,UPI
173,206,8444,2022-12-09,1,2862.45,0,807.35,GPay
174,12,7259,2021-06-24,2,3233.54,0,923.8,PhonePe
175,15,1953,2024-01-21,2,609.63,0,162.58,Card
176,182,5258,2024-08-12,1,1007.13,0.14,78.18,GPay
177,47,8208,2021-12-11,3,2071.91,0,544.8,Card
178,70,7379,2021-10-25,2,2942.98,0.01,753.09,UPI
179,158,5564,2023-04-05,2,3114.41,0,971.19,Card
180,150,7365,2021-01-12,1,957.57,0,205.51,Cash
181,43,4274,2023-03-27,1,1035.48,0.24,9.74,PhonePe
182,111,6431,2021-12-31,2,2756.5,0,841.36,Paytm
183,280,4180,2021-01-06,3,507.97,0,62.02,Paytm
184,198,6328,2023-06-13,1,1964.6,0.07,311.04,Paytm
185,2,1151,2021-10-02,2,929.71,0.15,154.33,UPI
186,15,5007,2020-08-13,3,617.32,0.01,164.1,Cash
187,52,3229,2020-06-19,2,523.68,0,141.99,Card
188,113,1683,2022-03-29,2,3199.83,0.14,297.46,Paytm
189,198,6129,2024-05-10,2,1851.4,0,335.36,Card
190,62,7670,2025-05-07,2,2085.59,0.17,-46.95,GPay
191,170,2310,2025-10-25,2,2380.93,0,259.13,PayPal
192,128,6676,2022-09-08,1,1021.35,0.23,65.69,UPI
193,93,8764,2024-01-11,1,771.75,0.02,71.54,Paytm
194,185,4510,2025-08-14,3,422.8,0.01,56.9,PhonePe
195,100,5907,2025-03-31,3,1040.01,0.19,81.05,Paytm
196,54,4049,2024-06-25,1,1550.16,0,220.81,PayPal
197,200,368,2021-08-15,3,1622.36,0.16,19.81,PhonePe
198,284,2590,2022-08-25,2,1513.35,0.06,219.83,Card
199,11,6437,2020-09-10,2,2238.6,0,326.22,Card
200,59,6421,2020-04-15,1,2064.4,0,564.96,PhonePe
201,82,5670,2020-03-18,1,429.47,0,47.33,PhonePe
202,190,5911,2022-11-30,2,2718.4,0,783.14,PayPal
203,227,7114,2025-02-24,2,2532.42,0.02,437.74,Card
204,296,891,2025-06-17,3,3141.63,0.24,-16.56,Cash
205,30,5023,2021-01-09,1,2793.11,0.27,-407.58,Card
206,290,7291,2021-03-13,1,710.17,0.29,-11.51,Card
207,174,2386,2021-02-15,1,380.8,0,48.65,PhonePe
208,22,6904,2021-03-30,1,2829.46,0.26,145.08,UPI
209,31,4745,2020-02-10,1,1743.32,0,333.89,GPay
210,296,9125,2023-11-09,1,3153.89,0,749.69,PhonePe
211,95,710,2025-02-06,2,2065.15,0,477.97,Card
212,107,7046,2024-02-23,3,2055.75,0.02,209.59,Cash
213,76,7125,2025-04-30,3,2452.57,0,738.04,PhonePe
214,141,2464,2020-11-20,1,668.63,0.2,0.87,UPI
215,273,9559,2021-02-08,3,1080.04,0,326.2,Card
216,262,6299,2021-03-03,1,2518.63,0,327,Paytm
217,152,3300,2025-09-20,1,995.01,0.24,5.58,Card
218,109,8629,2024-04-15,3,2131.03,0.3,-406.33,UPI
219,35,4262,2025-07-30,1,906.86,0.27,-22.49,Paytm
220,291,1605,2023-09-08,3,2259.89,0.1,130.5,GPay
221,78,8617,2024-01-10,1,2301.03,0.26,-37.74,Card
222,26,7428,2025-05-24,3,1536.33,0,273.09,GPay
223,159,933,2024-02-17,2,447.34,0.22,23.37,PhonePe
224,10,6226,2025-02-02,3,392.38,0,78.27,GPay
225,214,2490,2024-09-13,2,1919.49,0,204.24,Card
226,56,7294,2021-03-10,2,2541.36,0.29,73.32,Card
227,41,2496,2024-11-22,3,454.05,0.24,-21.86,Paytm
228,115,1757,2021-07-29,1,508.07,0.2,66.22,Card
229,203,4340,2023-01-02,3,891.05,0,238.13,Card
230,126,3079,2025-11-25,3,627.72,0.27,-78.27,GPay
231,274,6717,2020-01-20,3,1707.39,0,341.39,Card
232,256,6256,2022-09-07,1,576.14,0,127.35,Card
233,256,8121,2022-09-10,1,653.68,0.27,28.4,GPay
234,146,4804,2025-10-05,2,2288.58,0,492.65,UPI
235,215,2753,2025-09-13,3,3425.26,0,1045.75,Paytm
236,262,5968,2022-03-05,1,2703.46,0.21,-55.9,UPI
237,202,106,2021-05-18,2,2117.97,0,302.81,Card
238,241,7690,2025-04-30,1,3635.79,0,1165.71,Card
239,59,3377,2021-07-14,1,2067.79,0.18,196.15,Cash
240,271,5607,2024-09-05,2,773.19,0,119.46,Cash
241,193,1727,2024-10-15,2,1108.4,0.12,211.35,Cash
242,257,2386,2021-02-15,1,614.4,0.24,-34.96,UPI
243,51,9356,2023-01-29,2,1982.76,0.09,285.37,GPay
244,166,6537,2022-06-16,1,1009.14,0,249.08,Card
245,292,6011,2023-02-05,1,470.51,0.23,-40.97,PhonePe
246,92,5732,2023-03-23,1,3112.97,0.11,413.22,Paytm
247,120,1967,2021-02-25,1,1544.68,0,181.66,GPay
248,296,3597,2021-11-19,1,3412.93,0,1008.73,Card
249,102,2087,2025-10-06,1,371.09,0.11,24.7,UPI
250,139,2862,2024-06-05,2,890.34,0.04,104.13,GPay
251,195,6210,2024-04-03,2,428.93,0.25,-21.11,Paytm
252,163,9126,2021-07-27,2,752.75,0.13,18.67,Cash
253,16,3123,2022-03-12,1,872.85,0,126.62,UPI
254,225,2251,2023-03-29,1,855.66,0.05,178.59,Cash
255,283,4493,2022-11-24,1,1818.08,0,567.22,Cash
256,82,1156,2025-03-22,2,563.55,0.14,102.51,Cash
257,9,931,2021-06-14,1,771.81,0,252.63,PhonePe
258,181,2827,2020-01-30,1,2622.83,0,384.05,UPI
259,127,3287,2024-03-01,3,2774.42,0,402.48,UPI
260,170,3758,2025-06-21,2,3050.58,0,928.78,Paytm
261,41,3538,2024-06-04,1,505.71,0,138.77,GPay
262,27,3186,2025-01-07,2,995.77,0.1,184.09,Card
263,247,5928,2025-11-08,2,774.13,0.17,-26.26,Card
264,85,6928,2020-02-14,1,434.42,0.01,71.32,Card
265,298,480,2024-05-01,2,608.37,0.02,101.67,UPI
266,197,5725,2024-10-05,1,2643.74,0,763.15,GPay
267,139,7740,2024-10-06,2,1036.81,0,286.21,UPI
268,37,3676,2024-10-20,2,2121.08,0.19,90.22,Card
269,31,240,2025-05-04,2,1716.33,0,306.9,GPay
270,103,4514,2021-04-12,3,3034.05,0.24,256.23,Card
271,207,837,2021-10-29,1,769.87,0,237.08,PayPal
272,47,7285,2020-03-10,2,1692.6,0.25,-257.66,UPI
273,25,6641,2025-07-23,1,3361.57,0.12,559.68,Card
274,131,9970,2025-01-02,1,2161.73,0.3,-38.69,Cash
275,213,2432,2024-10-09,2,914.2,0.02,278.97,Cash
276,46,9894,2023-12-24,3,949.91,0,196.31,PhonePe
277,86,5732,2021-03-24,1,1959.19,0.28,-343.54,PhonePe
278,218,7825,2021-08-21,3,643.24,0,62.6,PayPal
279,70,4843,2021-10-12,3,2644,0,483.54,PayPal
280,205,5345,2021-12-13,3,1678.66,0,210.08,Card
281,57,4086,2023-11-08,1,2227.73,0.07,229.64,Cash
282,40,9983,2023-07-15,2,2563.06,0.16,197.74,PhonePe
283,123,8551,2020-03-24,1,748.15,0.25,42.26,Paytm
284,210,4836,2023-06-24,1,574.36,0,77.52,PhonePe
285,86,8925,2024-03-19,1,2155.67,0.26,-158.96,Card
286,57,1814,2020-08-12,3,2646.6,0,804.45,Card
287,263,7392,2022-09-01,3,1533.68,0,322.36,Paytm
288,185,1185,2021-04-27,2,523.4,0.25,30.88,Card
289,236,2854,2020-05-30,2,683.51,0,113.18,PhonePe
290,276,7060,2021-03-11,3,746.72,0.16,69.58,Paytm
291,82,9530,2021-09-19,1,488.64,0,106.5,Cash
292,34,6697,2020-07-21,3,2797.67,0,692.96,PhonePe
293,111,5056,2020-11-20,1,2337.76,0.3,-278.71,PhonePe
294,136,7926,2023-11-14,3,916.31,0,127.42,Paytm
295,10,2015,2021-11-19,1,432.65,0,118.54,UPI
296,286,9915,2020-06-17,3,490.25,0.24,26,Paytm
297,229,2596,2021-12-21,3,2282.08,0,399.74,Paytm
298,260,8386,2022-06-25,2,2118.58,0,252.45,Card
299,111,2577,2023-02-12,2,2840.55,0.2,357.3,Card
300,1,8254,2020-11-30,3,552.63,0,117.35,UPI
301,64,1334,2020-12-16,2,2490.7,0,584.61,PhonePe
302,9,212,2022-01-06,1,737.99,0,218.81,Cash
303,21,7604,2021-05-13,2,3147.92,0.11,374.84,Card
304,238,6467,2022-02-17,2,2404.2,0,309.51,PhonePe
305,62,6888,2024-11-02,3,2666.72,0,888.73,Card
306,75,6505,2022-01-28,1,530.08,0.04,49.58,UPI
307,84,3686,2025-11-04,3,2061.48,0.01,300.58,GPay
308,25,6993,2025-06-02,2,3354.07,0.09,653.7,Paytm
309,156,4536,2021-01-19,1,913.8,0.1,175.92,PhonePe
310,85,2367,2023-12-03,2,431.87,0.06,47.2,Paytm
311,224,2095,2021-09-08,3,2433.26,0.07,293.55,Cash
312,128,2398,2020-06-22,1,832.01,0.22,-71.78,PhonePe
313,137,8563,2022-07-09,3,2448,0.07,488.36,Card
314,269,4674,2021-07-19,1,1650.47,0,290.36,Cash
315,256,7018,2021-12-21,2,665.11,0.15,116.55,Card
316,240,9648,2021-03-29,3,565.21,0.04,94.26,GPay
317,80,6809,2020-08-13,2,2798.57,0.3,-5.11,GPay
318,72,3209,2022-06-30,2,1116.9,0.18,167.84,Card
319,232,5072,2021-01-26,1,787.84,0,244.68,PayPal
320,114,8507,2025-08-20,1,873.11,0.02,139.04,Paytm
321,236,312,2020-09-10,1,797.36,0,227.03,Card
322,171,5035,2023-02-05,1,2984.68,0,941.77,PhonePe
323,58,9172,2022-10-01,1,517.13,0,73.31,GPay
324,272,9038,2025-05-26,1,795.22,0.21,79.26,GPay
325,157,1519,2025-09-06,2,2446.87,0.19,118.36,UPI
326,145,1764,2024-06-01,2,2028.41,0,438.68,PhonePe
327,150,1225,2024-02-28,2,869.94,0,117.88,GPay
328,132,5753,2024-11-11,1,765.43,0.12,107.77,Cash
329,242,7901,2023-11-17,2,2260.62,0,453.92,UPI
330,286,9429,2021-12-20,2,490.89,0,144.3,Card
331,236,2096,2020-08-04,3,770.35,0.19,53.65,Paytm
332,256,8558,2022-03-17,3,514.09,0.01,60.16,Card
333,21,704,2022-03-04,2,2941.82,0.11,191.41,Card
334,275,972,2020-10-14,2,630.42,0.26,-34.96,Card
335,211,3089,2024-07-06,2,2240.93,0.07,431.59,UPI
336,225,1547,2021-01-28,1,908.48,0,274.19,UPI
337,37,6982,2024-03-04,3,2308.84,0,680.99,GPay
338,150,3897,2025-04-07,1,1087.31,0.28,30.8,Cash
339,68,4035,2021-02-17,2,450.51,0.13,18.73,UPI
340,58,2127,2020-08-30,3,560.68,0,116.86,PhonePe
341,36,2968,2024-02-25,1,2018.59,0.26,143.91,Cash
342,59,9898,2022-10-11,1,2109.53,0,610.09,PayPal
343,105,3890,2024-08-22,2,1864.41,0,575.53,PayPal
344,110,6536,2025-12-15,1,3112.58,0.12,596.81,Paytm
345,14,5412,2024-03-02,3,2136.22,0.29,-388.65,GPay
346,201,3633,2020-09-20,1,488.85,0,152.93,Paytm
347,273,4483,2025-06-13,3,965.81,0,211.97,PayPal
348,187,153,2025-01-27,2,787.33,0,216.96,GPay
349,142,6524,2020-10-24,3,550.15,0.08,110.06,Card
350,114,137,2021-07-07,2,935.22,0.05,171.85,Paytm
351,110,1595,2022-08-14,3,2513.43,0,371.17,Cash
352,117,4550,2021-06-10,3,933.37,0,306.57,UPI
353,102,5022,2020-12-27,1,392.09,0.11,43.39,Paytm
354,187,7580,2025-05-06,2,704.1,0,133.73,Cash
355,95,5415,2024-08-10,2,2094.99,0.08,340.21,Card
356,228,7056,2021-02-03,3,674.45,0,223.19,PhonePe
357,116,2261,2023-11-15,2,2309.16,0,692.71,PayPal
358,212,3042,2022-11-20,2,1065.11,0,326.15,Card
359,217,3178,2023-11-20,1,984.33,0.2,59.87,Card
360,161,8444,2022-11-27,2,903.22,0.15,154.12,PhonePe
361,73,5692,2020-11-22,1,648.24,0,157.46,PhonePe
362,3,9337,2025-11-21,3,709.27,0,219.85,Card
363,28,4088,2020-07-23,2,658.06,0.2,71.62,PhonePe
364,23,2430,2024-07-25,3,2382.44,0,555.43,Paytm
365,146,1807,2024-09-03,3,2362.66,0.04,472.22,Cash
366,232,1473,2022-04-23,1,741.48,0,198.32,PayPal
367,59,3553,2023-09-09,1,1998.88,0.12,259.57,UPI
368,39,2435,2023-05-18,1,698.23,0,113.96,Paytm
369,102,121,2021-07-14,2,401.08,0,95.51,GPay
370,67,5195,2021-08-26,2,1126.1,0.04,303.84,Cash
371,7,1529,2021-06-21,3,2740.61,0,835.15,Card
372,34,1083,2022-09-20,3,2700.57,0,595.86,PayPal
373,282,2472,2022-11-07,2,2316.19,0,273.86,Paytm
374,165,5832,2020-01-22,1,2787.59,0,728.65,PhonePe
375,251,9037,2020-06-17,3,862.21,0.23,-52.52,GPay
376,70,2307,2022-05-11,2,2424.49,0.14,-75.4,Paytm
377,50,5516,2025-03-27,3,586.3,0,92.94,UPI
378,227,5779,2025-08-20,3,2606.85,0,562.82,Cash
379,183,8398,2020-11-23,1,540.06,0.18,68.33,Cash
380,53,7240,2020-08-12,2,755.86,0,82.38,PhonePe
381,205,1940,2023-10-14,2,1821.35,0,352.77,UPI
382,204,5199,2022-07-16,2,2182.45,0,584.97,PhonePe
383,289,8137,2024-07-06,2,575.98,0.15,78.46,UPI
384,1,6439,2022-08-25,2,503.97,0,68.69,UPI
385,130,3612,2023-11-29,2,1700.94,0,342.75,PhonePe
386,91,2168,2023-11-26,2,2710.59,0,274.24,PhonePe
387,32,7869,2025-09-19,2,2773.59,0,828.03,PhonePe
388,142,4233,2025-03-17,3,589.7,0,193.62,Paytm
389,178,786,2020-10-01,2,392.04,0,91.21,Paytm
390,188,1150,2022-09-19,3,3350.12,0.19,253.68,UPI
391,131,8702,2023-12-11,1,1930.17,0.3,-200.78,Paytm
392,253,4962,2021-02-17,3,2481.41,0.16,-94.56,PhonePe
393,209,5967,2025-09-29,2,744.37,0.17,55.14,Card
394,168,927,2021-11-30,3,473.96,0.18,27.6,Paytm
395,42,5833,2025-05-15,2,2389.5,0,684.92,GPay
396,89,79,2021-09-05,3,993.57,0.11,127.77,Card
397,285,9136,2020-01-25,3,784.81,0,157.18,Paytm
398,185,3580,2025-01-18,2,413.5,0,51.83,GPay
399,129,3774,2025-01-09,3,2526.16,0,740.85,PhonePe
400,222,9123,2021-04-22,1,2134.89,0.09,36.59,PayPal
401,239,2264,2022-10-28,1,768.15,0,86.71,Card
402,280,4713,2023-10-16,3,517.92,0,71.97,GPay
403,230,9785,2021-10-03,1,1783.8,0,443.18,GPay
404,232,8545,2025-11-08,2,645.01,0,101.85,PayPal
405,52,7650,2021-05-26,1,543.06,0,161.37,Card
406,92,6136,2020-11-03,2,3447.42,0.07,848.78,Card
407,201,7127,2024-07-15,2,494.87,0.21,55.03,Paytm
408,275,3974,2021-07-05,1,647.44,0,145.97,PayPal
409,97,949,2025-05-29,1,1070.66,0.04,262.81,UPI
410,131,3851,2021-03-03,1,1937.12,0.1,191.51,UPI
411,284,709,2025-11-18,1,1468.4,0.22,-57.37,Cash
412,207,2536,2023-02-12,2,639.39,0,106.6,GPay
413,144,8710,2021-01-13,1,1697.63,0,474.01,Paytm
414,113,6329,2023-04-15,3,2822.31,0,367.92,PhonePe
415,263,4576,2022-12-24,3,1548.59,0,337.27,UPI
416,102,6532,2025-10-15,2,340.74,0,35.17,Card
417,157,7894,2024-03-26,2,2640.45,0.26,90.33,PayPal
418,264,8670,2024-10-30,3,738.27,0.13,23.18,Card
419,30,7297,2025-10-17,3,2732.25,0.23,-342.72,Cash
420,89,5085,2020-09-21,1,891.62,0,135.11,Paytm
421,277,5599,2023-06-11,3,2508.4,0,407.88,Cash
422,258,3109,2024-10-29,1,2275.83,0.08,271.83,Card
423,150,172,2020-11-20,2,1077.65,0.01,314.81,Card
424,79,5384,2025-12-04,2,1094.21,0,350.74,Card
425,293,2161,2025-10-24,2,1975.37,0,193.78,PayPal
426,144,8482,2021-08-05,1,1545.74,0,322.12,Paytm
427,223,4375,2023-12-30,3,1745.92,0,318.56,Card
428,76,6928,2022-11-06,1,2493.4,0,778.87,Paytm
429,211,2748,2024-10-24,2,2188.37,0,535.9,GPay
430,130,7912,2023-06-04,3,1712.24,0,354.05,PhonePe
431,194,2807,2020-12-24,1,3170.18,0,793.24,Card
432,184,7941,2022-05-28,3,448.55,0,92.22,Cash
433,130,2868,2021-07-18,3,1832.31,0,474.12,Paytm
434,138,3659,2022-07-13,1,3266.98,0,796.78,Cash
435,5,911,2020-11-20,1,2065.83,0,670.95,GPay
436,4,6444,2024-07-15,1,3312.64,0.08,661.91,Paytm
